date, pm25, pm10, o3, no2, so2, co
2025/11/1, 114, 31, 23, 14, 2, 5
2025/11/2, 81, 37, 24, 11, 2, 4
2025/11/3, 91, 38, 23, 10, 2, 4
2025/11/4, 93, 52, 24, 11, 2, 4
2025/11/5, 115, 55, 24, 11, 2, 4
2025/11/6, 94, 72, 23, 10, 2, 4
2025/11/7, 114, 66, 23, 12, 2, 5
2025/11/8, 107, 81, 24, 11, 2, 4
2025/11/9, 142, 65, 23, 18, 3, 7
2025/11/10, 155, 59, 24, 11, 2, 4
2025/11/11, 144, 59, 24, 11, 2, 4
2025/11/12, 147, 52, 23, 10, 2, 4
2025/11/13, 131, 53, 22, 11, 2, 4
2025/11/14, 131, 70, 22, 10, 2, 4
2025/11/15, 148, 63, 22, 13, 2, 5
2025/11/16, 149, 67, 21, 10, 1, 4
2025/11/17, 155, 68, 21, 12, 2, 4
2025/11/18, 159, , , , , 
2025/10/1, 53, 25, 21, 12, 2, 5
2025/10/2, 47, 37, 22, 12, 2, 5
2025/10/3, 45, 34, 21, 11, 2, 4
2025/10/4, 53, 33, 21, 13, 2, 5
2025/10/5, 57, 33, 21, 12, 2, 5
2025/10/6, 45, 30, 22, 9, 1, 3
2025/10/7, 54, 60, 23, 13, 2, 5
2025/10/8, 80, 69, 23, 13, 2, 5
2025/10/9, 103, 87, 23, 12, 2, 5
2025/10/10, 116, 90, 22, 13, 2, 5
2025/10/11, 121, 78, 23, 13, 2, 5
2025/10/12, 135, 75, 21, 13, 2, 5
2025/10/13, 151, 78, 22, 10, 1, 4
2025/10/14, 93, 52, 22, 10, 1, 4
2025/10/15, 56, 86, 23, 11, 2, 4
2025/10/16, 156, 84, 23, 11, 2, 5
2025/10/17, 143, 83, 22, 11, 2, 4
2025/10/18, 150, 84, 22, 11, 2, 4
2025/10/19, 150, 64, 22, 11, 2, 4
2025/10/20, 64, 67, 22, 11, 2, 4
2025/10/21, 59, 67, 22, 10, 2, 4
2025/10/22, 62, 50, 22, 11, 2, 4
2025/10/23, 35, 33, 21, 11, 2, 4
2025/10/24, 25, 54, 20, 11, 2, 4
2025/10/25, 63, 32, 22, 14, 2, 6
2025/10/26, 36, 75, 23, 10, 1, 4
2025/10/27, 64, 24, 21, 13, 2, 5
2025/10/28, 57, 20, 19, 13, 2, 5
2025/10/29, 59, 32, 21, 12, 2, 5
2025/10/30, 88, 40, 22, 14, 2, 5
2025/10/31, 91, 60, 22, 12, 2, 5
2025/7/1, 30, 24, 24, 12, 2, 5
2025/7/2, 43, 27, 22, 14, 3, 6
2025/7/3, 36, 30, 22, 11, 2, 4
2025/7/4, 32, 30, 22, 12, 2, 5
2025/7/5, 34, 32, 23, 9, 1, 3
2025/7/6, 42, 45, 22, 12, 2, 5
2025/7/7, 54, 40, 21, 14, 2, 5
2025/7/8, 55, 43, 22, 11, 2, 4
2025/7/9, 59, 49, 22, 10, 1, 4
2025/7/10, 69, 59, 22, 12, 2, 5
2025/7/11, 75, 53, 22, 11, 2, 4
2025/7/12, 62, 47, 23, 11, 2, 4
2025/7/13, 58, 45, 23, 13, 2, 5
2025/7/14, 43, 36, 22, 12, 2, 4
2025/7/15, 37, 37, 23, 13, 2, 5
2025/7/16, 41, 46, 23, 12, 2, 5
2025/7/17, 73, 37, 23, 11, 2, 4
2025/7/18, 67, 54, 22, 10, 2, 4
2025/7/19, 82, 52, 22, 10, 2, 4
2025/7/20, 65, 40, 22, 13, 2, 5
2025/7/21, 60, 31, 22, 14, 3, 6
2025/7/22, 36, 13, 20, 10, 2, 4
2025/7/23, 27, 17, 19, 11, 2, 4
2025/7/24, 36, 19, 20, 9, 1, 4
2025/7/25, 37, 11, 20, 15, 3, 6
2025/7/26, 22, 22, 21, 11, 2, 4
2025/7/27, 29, 35, 21, 13, 2, 5
2025/7/28, 43, 41, 22, 11, 2, 4
2025/7/29, 42, 23, 21, 13, 2, 5
2025/7/30, 26, 50, 21, 16, 3, 6
2025/7/31, 58, 51, 22, 11, 2, 4
2025/8/1, 56, 49, 24, 11, 2, 5
2025/8/2, 60, , , , , 
2025/8/4, 55, 57, 23, 24, 4, 10
2025/8/5, 105, 54, 24, 12, 2, 5
2025/8/6, 94, 62, 23, 13, 2, 5
2025/8/7, 102, 23, 21, 12, 2, 5
2025/8/8, 53, 40, 22, 12, 2, 5
2025/8/9, 68, 22, 22, 11, 2, 4
2025/8/10, 49, 33, 21, 9, 1, 3
2025/8/11, 60, 31, 21, 13, 2, 5
2025/8/12, 52, 30, 20, 10, 1, 4
2025/8/13, 55, 19, 21, 11, 2, 4
2025/8/14, 36, 12, 21, 9, 1, 3
2025/8/15, 25, 23, 20, 11, 2, 4
2025/8/16, 45, 23, 21, 12, 2, 5
2025/8/17, 39, 14, 20, 11, 2, 4
2025/8/18, 33, 8, 20, 9, 1, 3
2025/8/19, 16, 18, 21, 14, 2, 5
2025/8/20, 26, 40, 22, 11, 2, 4
2025/8/21, 43, 41, 22, 12, 2, 5
2025/8/22, 46, 38, 22, 11, 2, 4
2025/8/23, 42, 34, 21, 10, 1, 4
2025/8/24, 35, 38, 22, 13, 2, 5
2025/8/25, 38, 27, 20, 10, 2, 4
2025/8/26, 40, 13, 20, 11, 2, 4
2025/8/27, 32, 19, 20, 12, 2, 5
2025/8/28, 31, 23, 21, 11, 2, 4
2025/8/29, 49, 29, 22, 10, 2, 4
2025/8/30, 44, 22, 21, 13, 2, 5
2025/8/31, 41, 37, 21, 12, 2, 5
2025/9/1, 51, 27, 20, 13, 2, 5
2025/9/2, 48, 49, 22, 10, 2, 4
2025/9/3, 67, 56, 22, 12, 2, 5
2025/9/4, 67, 42, 22, 12, 2, 4
2025/9/5, 47, 39, 22, 14, 2, 6
2025/9/6, 52, 52, 22, 11, 2, 4
2025/9/7, 69, 74, 23, 12, 2, 5
2025/9/8, 59, 57, 24, 11, 2, 4
2025/9/9, 70, 47, 22, 13, 2, 5
2025/9/10, 63, 31, 20, 12, 2, 5
2025/9/11, 56, 31, 20, 10, 2, 4
2025/9/12, 64, 36, 20, 12, 2, 4
2025/9/13, 68, 39, 22, 11, 2, 4
2025/9/14, 72, 20, 21, 10, 1, 4
2025/9/15, 43, 30, 22, 15, 3, 6
2025/9/16, 48, 33, 22, 11, 2, 4
2025/9/17, 67, 24, 23, 11, 2, 4
2025/9/18, 56, 39, 22, 12, 2, 5
2025/9/19, 66, 45, 22, 11, 2, 4
2025/9/20, 72, 39, 22, 12, 2, 5
2025/9/21, 72, 21, 22, 16, 3, 6
2025/9/22, 50, 28, 20, 15, 3, 6
2025/9/23, 55, 46, 21, 11, 2, 4
2025/9/24, 78, 42, 19, 14, 3, 6
2025/9/25, 72, 26, 21, 11, 2, 4
2025/9/26, 66, 20, 19, 12, 2, 5
2025/9/27, 47, 17, 20, 13, 2, 5
2025/9/28, 36, 41, 22, 11, 2, 4
2025/9/29, 62, 36, 22, 12, 2, 5
2025/9/30, 45, 39, 22, 11, 2, 4
2025/4/1, 91, 51, 23, 12, 2, 5
2025/4/2, 46, 50, 21, 13, 2, 6
2025/4/3, 60, 38, 21, 10, 1, 7
2025/4/4, 41, 66, 19, 13, 2, 7
2025/4/5, 74, 66, 19, 11, 2, 7
2025/4/6, 83, 80, 19, 13, 2, 8
2025/4/7, 97, 64, 20, 15, 3, 6
2025/4/8, 57, 68, 19, 11, 2, 7
2025/4/9, 70, 67, 20, 15, 3, 7
2025/4/10, 67, 70, 19, 12, 2, 5
2025/4/11, 77, 79, 20, 13, 2, 5
2025/4/12, 84, 82, 19, 13, 2, 8
2025/4/13, 111, 61, 20, 10, 2, 7
2025/4/14, 58, 86, 19, 11, 2, 5
2025/4/15, 81, 80, 19, 9, 1, 5
2025/4/16, 88, 67, 19, 10, 2, 5
2025/4/17, 76, 79, 20, 10, 2, 6
2025/4/18, 93, 75, 19, 13, 2, 8
2025/4/19, 79, 78, 20, 9, 1, 7
2025/4/20, 98, 79, 20, 10, 2, 7
2025/4/21, 89, 85, 19, 11, 2, 7
2025/4/22, 102, 87, 20, 12, 2, 7
2025/4/23, 105, 82, 20, 12, 2, 6
2025/4/24, 90, 56, 19, 16, 10, 3
2025/4/25, 98, 1, 12, 16, 142, 7
2025/4/26, 154, 50, 40, 12, 3, 7
2025/4/27, 51, 63, 34, 8, 1, 7
2025/4/28, 65, 69, 38, 12, 2, 6
2025/4/29, 52, 76, 29, 11, 2, 6
