date, pm25, pm10, o3, no2, so2, co
2025/11/1, 74, 55, 14, 8, 6, 4
2025/11/2, 73, 54, 14, 8, 5, 4
2025/11/3, 72, 55, 9, 8, 5, 4
2025/11/4, 72, 55, 12, 10, 4, 4
2025/11/5, 76, 52, 12, 10, 5, 3
2025/11/6, 74, 55, 23, 11, 7, 4
2025/11/7, 76, 50, 23, 10, 10, 2
2025/11/8, 71, , , , , 
2025/11/10, 96, 53, 11, 5, 3, 4
2025/11/11, 74, 56, 26, 4, 6, 4
2025/11/12, 77, 56, 26, 5, 8, 5
2025/11/13, 84, 57, 8, 5, 4, 4
2025/11/14, 83, 61, 20, 4, 5, 5
2025/11/15, 93, 65, 9, 4, 3, 4
2025/11/16, 85, 67, 28, 7, 6, 4
2025/11/17, 85, 65, 28, 14, 6, 4
2025/11/18, 85, , , , , 
2025/10/1, 74, 57, 14, 5, 6, 2
2025/10/2, 74, 56, 3, 6, 5, 2
2025/10/3, 73, 56, 21, 6, 6, 2
2025/10/4, 90, 62, 21, 7, 10, 2
2025/10/5, 79, 86, 21, 7, 7, 2
2025/10/6, 80, 60, 15, 6, 5, 2
2025/10/7, 80, 57, 6, 7, 12, 3
2025/10/8, 85, 58, 10, 6, 9, 2
2025/10/9, 105, 56, 23, 8, 4, 2
2025/10/10, 115, 56, 7, 8, 3, 2
2025/10/11, 110, 55, 5, 7, 2, 2
2025/10/12, 108, 55, 11, 7, 4, 3
2025/10/13, 113, 55, 12, 5, 4, 1
2025/10/14, 103, 58, 11, 3, 4, 1
2025/10/15, 103, 59, 10, 5, 4, 1
2025/10/16, 110, 59, 12, 6, 4, 2
2025/10/17, 106, 59, 11, 6, 4, 2
2025/10/18, 104, 63, 13, 3, 4, 3
2025/10/19, 108, 104, 15, 3, 6, 3
2025/10/20, 121, 79, 11, 6, 4, 3
2025/10/21, 121, 69, 11, 4, 5, 2
2025/10/22, 94, 70, 12, 5, 5, 2
2025/10/23, 92, 67, 9, 6, 5, 3
2025/10/24, 97, 65, 9, 5, 5, 3
2025/10/25, 154, 64, 12, 6, 4, 2
2025/10/26, 96, 70, 15, 7, 4, 3
2025/10/27, 107, 69, 12, 9, 4, 5
2025/10/28, 110, 67, 8, 5, 4, 4
2025/10/29, 95, 63, 11, 10, 4, 4
2025/10/30, 80, 54, 11, 10, 4, 5
2025/10/31, 74, 59, 14, 11, 5, 5
2025/7/1, 101, 55, 10, 6, 7, 3
2025/7/2, 101, 56, 10, 6, 9, 2
2025/7/3, 100, 57, 17, 6, 17, 2
2025/7/4, 96, 60, 7, 6, 9, 2
2025/7/5, 107, 60, 21, 6, , 1
2025/7/6, 100, 61, 11, 2, , 1
2025/7/7, 64, 60, 19, 5, 5, 1
2025/7/8, 57, 60, 19, 6, 5, 1
2025/7/9, 93, 62, 16, 6, 3, 2
2025/7/10, 100, 61, 19, 7, 14, 3
2025/7/11, 95, 60, 17, 7, 9, 2
2025/7/12, 99, 61, 13, 6, 5, 2
2025/7/13, 99, 59, 14, 6, 4, 2
2025/7/14, 95, 59, 18, 7, 1, 2
2025/7/15, 88, 60, 15, 7, 5, 2
2025/7/16, 91, 60, 15, 7, 3, 2
2025/7/17, 92, 59, 9, 7, 3, 2
2025/7/18, 89, 60, 11, 8, 9, 4
2025/7/19, 95, 61, 12, 6, 6, 3
2025/7/20, 91, 64, 17, 7, 8, 3
2025/7/21, 105, 60, 23, 6, 14, 2
2025/7/22, 85, 56, 23, 5, 2, 2
2025/7/23, 73, 57, 11, 5, 3, 2
