date, pm25, pm10, o3, no2, so2, co
2025/11/1, 97, 61, 14, 3, 3, 1
2025/11/2, 95, 64, 13, 4, 3, 2
2025/11/3, 98, 71, 17, 5, 5, 2
2025/11/4, 99, 67, 17, 5, 5, 2
2025/11/5, 97, 68, 14, 5, 4, 3
2025/11/6, 89, 84, 14, 5, 4, 2
2025/11/7, 97, 71, 12, 4, 3, 1
2025/11/8, 89, 71, 13, 3, 4, 2
2025/11/9, 90, 73, 14, 3, 4, 2
2025/11/10, 87, 64, 17, 4, 5, 2
2025/11/11, 91, 70, 17, 5, 4, 2
2025/11/12, 96, 67, 16, 6, 4, 2
2025/11/13, 90, 68, 16, 5, 3, 2
2025/11/14, 87, 71, 16, 4, 4, 2
2025/11/15, 95, 69, 15, 4, 6, 2
2025/11/16, 89, 70, 11, 4, 6, 2
2025/11/17, 86, 72, 17, 5, 5, 2
2025/11/18, 86, , , , , 
2025/10/1, 92, 61, 12, 4, 4, 2
2025/10/2, 94, 60, 7, 4, 4, 2
2025/10/3, 86, 61, 17, 4, 4, 2
2025/10/4, 92, 61, 17, 4, 4, 2
2025/10/5, 98, 67, 10, 5, 6, 2
2025/10/6, 91, 63, 14, 4, 5, 1
2025/10/7, 93, 67, 16, 4, 5, 1
2025/10/8, 97, 65, 15, 4, 5, 2
2025/10/9, 97, 68, 15, 4, 4, 2
2025/10/10, 98, 67, 17, 4, 4, 2
2025/10/11, 94, 67, 13, 3, 3, 2
2025/10/12, 88, 69, 13, 3, 3, 1
2025/10/13, 94, 67, 17, 5, 4, 2
2025/10/14, 94, 67, 18, 6, 4, 2
2025/10/15, 101, 78, 12, 5, 5, 1
2025/10/16, 91, 69, 11, 5, 6, 2
2025/10/17, 88, 74, 12, 6, 8, 2
2025/10/18, 92, 72, 12, 7, 7, 2
2025/10/19, 101, 77, 13, 6, 10, 3
2025/10/20, 103, 72, 12, 5, 4, 5
2025/10/21, 107, 67, 12, 4, 5, 3
2025/10/22, 86, 63, 14, 4, 3, 1
2025/10/23, 92, 67, 14, 5, 8, 1
2025/10/24, 97, 61, 12, 4, 2, 1
2025/10/25, 87, 62, 17, 5, 4, 1
2025/10/26, 94, 64, 16, 4, 4, 2
2025/10/27, 94, 65, 16, 5, 4, 2
2025/10/28, 94, 58, 11, 4, 3, 1
2025/10/29, 91, 63, 14, 6, 3, 1
2025/10/30, 90, 62, 11, 6, 2, 1
2025/10/31, 90, 63, 15, 4, 3, 2
2025/7/1, 96, 65, 11, 5, 1, 2
2025/7/2, 89, 60, 14, 4, 4, 2
2025/7/3, 91, 61, 12, 4, 7, 2
2025/7/4, 92, 68, 12, 4, 2, 2
2025/7/5, 90, 61, 13, 4, 8, 2
2025/7/6, 94, 65, 11, 3, 3, 2
2025/7/7, 89, 63, 14, 3, 5, 2
2025/7/8, 92, 64, 11, 4, 4, 2
2025/7/9, 88, 66, 11, 5, 5, 2
2025/7/10, 90, 63, 3, 6, 6, 2
2025/7/12, 81, 62, 14, 5, 6, 2
2025/7/13, 84, 63, 14, 5, 7, 2
2025/7/14, 84, 63, 11, 5, 3, 2
2025/7/15, 90, 70, 6, 5, 21, 2
2025/7/16, 92, 68, 12, 4, 4, 1
2025/7/17, 95, 74, 13, 4, 4, 1
2025/7/18, 94, 64, 16, 4, 84, 1
2025/7/19, 95, 65, 14, 4, 9, 2
2025/7/20, 86, 65, 14, 3, 38, 2
2025/7/21, 88, 67, 15, 4, 4, 2
2025/7/22, 101, 65, 13, 4, 4, 2
2025/7/23, 102, 67, 12, 4, 3, 2
2025/7/24, 96, 73, 13, 4, 3, 2
2025/7/25, 95, 65, 13, 4, 3, 1
2025/7/26, 97, 68, 17, 3, 44, 1
2025/7/27, 98, 73, 15, 3, 15, 2
2025/7/28, 93, 61, 15, 4, 7, 2
2025/7/29, 92, 62, 12, 4, 4, 2
2025/7/30, 94, 63, 13, 4, 2, 1
2025/7/31, 95, 77, 16, 4, 15, 3
2025/8/1, 91, 63, 15, 3, 4, 3
2025/8/2, 95, 65, 18, 2, 13, 3
2025/8/3, 95, 63, 20, 2, 7, 3
2025/8/4, 89, 63, 20, 4, 2, 3
2025/8/5, 88, 73, 20, 5, 5, 2
2025/8/6, 93, 66, 12, 5, 5, 2
2025/8/7, 92, 76, 12, 4, 32, 2
2025/8/8, 103, 65, 16, 4, 5, 2
2025/8/9, 93, 65, 16, 3, 4, 2
2025/8/10, 87, 66, 16, 3, 4, 2
2025/8/11, 88, 63, 15, 4, 2, 1
2025/8/12, 89, 68, 15, 5, 6, 1
2025/8/13, 92, 57, 13, 6, 1, 2
2025/8/14, 89, 57, 14, 5, 1, 1
2025/8/15, 87, 67, 12, 4, 5, 1
2025/8/16, 100, 57, 12, 5, 2, 1
2025/8/17, 101, 60, 10, 5, 2, 1
2025/8/18, 90, 61, 12, 4, 34, 2
2025/8/19, 86, 62, 14, 5, 14, 2
2025/8/20, 93, 71, 34, 5, 29, 1
2025/8/21, 95, 62, 14, 5, 3, 2
2025/8/22, 91, 61, 14, 4, 2, 2
2025/8/23, 89, 61, 14, 4, 2, 2
2025/8/24, 90, 61, 14, 4, 2, 2
2025/8/25, 91, 60, 14, 4, 2, 2
2025/8/26, 90, 60, 7, 4, 2, 2
2025/8/27, 85, 60, 11, 5, 2, 2
2025/8/28, 93, 64, 13, 4, 3, 2
2025/8/29, 91, 60, 8, 4, 4, 2
2025/8/30, 90, 61, 14, 4, 8, 1
2025/8/31, 92, 60, 16, 4, 4, 1
2025/9/1, 97, 67, 16, 5, 29, 1
2025/9/2, 92, 61, 17, 6, 8, 1
2025/9/3, 93, 61, 17, 5, 5, 1
2025/9/4, 102, 65, 12, 4, 2, 2
2025/9/5, 107, 64, 11, 4, 5, 2
2025/9/6, 101, 63, 10, 4, 4, 2
2025/9/7, 94, 63, 14, 3, 6, 1
2025/9/8, 84, 65, 11, 5, 7, 2
2025/9/9, 76, 66, 17, 4, 3, 2
2025/9/10, 73, 66, 32, 5, 5, 2
2025/9/11, 75, 66, 1, 6, 5, 1
2025/9/12, 75, 63, 9, 5, 5, 2
2025/9/13, 72, 65, 9, 4, 4, 2
2025/9/14, 67, 64, 11, 4, 2, 2
2025/9/15, 74, 63, 10, 4, 5, 2
2025/9/16, 67, 67, 12, 3, 4, 2
2025/9/17, 79, 60, 16, 2, 4, 2
2025/9/18, 89, 64, 11, 5, 6, 2
2025/9/19, 101, 66, 14, 4, 3, 1
2025/9/20, 91, 65, 11, 3, 31, 1
2025/9/21, 95, 62, 16, 3, 2, 1
2025/9/22, 90, 61, 16, 4, 3, 1
2025/9/23, 101, 62, 17, 3, 3, 1
2025/9/24, 91, 65, 16, 5, 3, 1
2025/9/25, 98, 71, 16, 5, 12, 1
2025/9/26, 98, 60, 12, 4, 4, 2
2025/9/27, 92, 61, 13, 4, 2, 1
2025/9/28, 91, 65, 16, 3, 3, 1
2025/9/29, 93, 61, 16, 4, 4, 2
2025/9/30, 90, 60, 9, 5, 4, 2
2025/4/1, 101, 63, 14, 5, 28, 3
2025/4/2, 104, 63, 13, 4, 3, 3
2025/4/3, 99, 61, 11, 4, 2, 4
2025/4/4, 97, 62, 16, 6, 5, 4
2025/4/5, 100, 64, 22, 6, 2, 4
2025/4/6, 100, 63, 25, 6, 3, 4
2025/4/7, 93, 63, 22, 4, 2, 4
2025/4/8, 90, 62, 26, 4, 3, 3
2025/4/9, 98, 67, 20, 4, 7, 2
2025/4/10, 95, 72, 18, 5, 2, 2
2025/4/11, 94, 71, 14, 5, 2, 2
2025/4/12, 100, 68, 18, 4, 2, 2
2025/4/13, 101, 64, 22, 4, 2, 2
2025/4/14, 98, 59, 21, 5, 3, 2
2025/4/15, 109, 60, 20, 4, 2, 2
2025/4/16, 87, 60, 30, 4, 4, 2
2025/4/17, 97, 60, 30, 4, 3, 1
2025/4/18, 98, 60, 27, 4, 3, 2
2025/4/19, 101, 61, 39, 4, 4, 1
2025/4/20, 90, 61, 32, 3, 4, 1
2025/4/21, 83, 77, 24, 3, 3, 1
2025/4/22, 100, 114, 34, 4, 3, 2
2025/4/23, 106, 89, 28, 5, 3, 2
2025/4/24, 97, 63, 23, 5, 4, 1
2025/4/25, 108, 66, 34, 3, 6, 2
2025/4/26, 95, 66, 20, 3, 21, 1
2025/4/27, 96, 62, 24, 3, 4, 1
2025/4/28, 88, 61, 25, 3, 4, 1
2025/4/29, 96, 61, , 4, 4, 1
2025/4/30, 96, 61, , 4, 4, 1
2025/5/1, 97, 69, 35, 4, 5, 1
