date, pm25, pm10, o3, no2, so2, co
2025/11/3, 80, 53, 6, 3, 4, 3
2025/11/4, 74, 52, 19, 3, 4, 3
2025/11/5, 78, 54, 24, 4, 4, 4
2025/11/6, 77, 54, 10, 3, 5, 5
2025/11/7, 79, 58, 10, 3, 5, 6
2025/11/8, 81, 56, 9, 4, 6, 5
2025/11/9, 82, 54, 12, 4, 5, 6
2025/11/10, 75, 58, 11, 3, 4, 5
2025/11/11, 79, 58, 9, 3, 5, 4
2025/11/12, 77, 57, 11, 3, 4, 4
2025/11/13, 77, 56, 10, 3, 5, 4
2025/11/14, 75, 56, 10, 3, 4, 6
2025/11/15, 73, 55, 11, 3, 5, 5
2025/11/16, 72, 58, 11, 3, 5, 6
2025/11/17, 77, 59, 11, 4, 5, 6
2025/11/18, 77, , , , , 
2025/10/1, 69, , , , , 
2025/10/4, 80, 57, 26, 2, 5, 2
2025/10/5, 76, 56, 21, 2, 7, 2
2025/10/6, 78, 56, 17, 3, 9, 8
2025/10/7, 78, 55, 19, 3, 5, 5
2025/10/8, 78, 56, 12, 4, 5, 3
2025/10/9, 79, 58, 16, 3, 4, 4
2025/10/10, 66, 57, 18, 3, 7, 40
2025/10/11, 71, 56, 20, 4, 6, 7
2025/10/12, 79, 56, 36, 4, 5, 5
2025/10/13, 81, 56, 20, 3, 4, 6
2025/10/14, 73, 55, 24, 2, 3, 5
2025/10/15, 73, 55, 25, 3, 4, 6
2025/10/16, 82, 55, 16, 4, 5, 6
2025/10/17, 81, 56, 16, 3, 6, 5
2025/10/18, 86, 62, 14, 4, 9, 7
2025/10/19, 89, 111, 23, 7, 14, 10
2025/10/20, 108, 61, 21, 4, 6, 7
2025/10/21, 85, 57, 23, 4, 5, 4
2025/10/22, 75, 56, 21, 3, 4, 4
2025/10/23, 80, 53, 17, 3, 4, 7
2025/10/24, 78, 57, 19, 4, 5, 4
2025/10/25, 75, 55, 25, 3, 4, 2
2025/10/26, 79, 55, 6, 3, 4, 3
2025/10/27, 78, 56, 19, 4, 4, 3
2025/10/28, 78, 57, 7, 3, 4, 4
2025/10/29, 79, 57, 4, 3, 5, 5
2025/10/30, 83, , , , , 
2025/7/1, 81, 55, 7, 5, 4, 2
2025/7/2, 86, 56, 18, 6, 4, 2
2025/7/3, 69, 54, 17, 7, 4, 3
2025/7/4, 71, 50, 11, 7, 3, 2
2025/7/5, 70, 50, 15, 7, 3, 3
2025/7/6, 70, 57, 15, 7, 5, 3
2025/7/7, 78, 58, 19, 5, 4, 2
2025/7/8, 78, 58, 18, 5, 8, 5
2025/7/9, 78, 56, 22, 5, 14, 4
2025/7/10, 77, 55, 17, 5, 13, 3
2025/7/11, 80, 56, 12, 5, 15, 5
2025/7/12, 85, 58, 11, 4, 6, 7
2025/7/13, 79, 57, 11, 5, 6, 9
2025/7/14, 75, 57, 10, 4, 6, 6
2025/7/15, 77, 55, 19, 4, 7, 3
2025/7/16, 76, 56, 18, 3, 1, 5
2025/7/17, 78, 54, 19, 4, 11, 3
2025/7/18, 79, 56, 17, 6, 6, 3
2025/7/19, 80, 56, 3, 7, 3, 2
2025/7/20, 77, 57, 27, 6, 5, 3
2025/7/21, 76, 55, 21, 5, 5, 3
2025/7/22, 78, 56, 2, 5, 10, 3
2025/7/23, 85, 55, 100, 4, 68, 5
2025/7/24, 78, 57, 4, 5, 6, 3
2025/7/25, 80, 57, 4, 5, 10, 3
2025/7/26, 74, 56, 3, 4, 50, 3
2025/7/27, 74, 57, 31, 3, , 5
2025/7/28, 87, 57, 78, 5, 4, 5
2025/7/29, 84, 55, 28, 5, 3, 3
2025/7/30, 81, 56, 24, 5, 4, 3
2025/7/31, 77, 57, 28, 6, 3, 4
2025/8/1, 69, 57, 39, 4, 4, 10
2025/8/2, 82, 59, 15, 4, 4, 7
2025/8/3, 71, 58, 13, 4, 4, 7
2025/8/4, 76, 57, 27, 5, 5, 7
2025/8/5, 79, 57, 95, 6, 9, 8
2025/8/6, 79, 57, 52, 6, 8, 8
2025/8/7, 80, 58, 26, 5, 5, 4
2025/8/8, 72, 55, 25, 5, 3, 2
2025/8/9, 66, 55, 20, 5, 10, 2
2025/8/10, 66, 58, 61, 6, 33, 9
2025/8/11, 75, 56, 24, 5, 8, 5
