date, pm25, pm10, o3, no2, so2, co
2025/11/1, 80, 15, 9, 5, 1, 2
2025/11/2, 29, 26, 10, 4, 1, 2
2025/11/3, 50, 34, 9, 5, 1, 1
2025/11/4, 71, 47, 9, 5, 1, 2
2025/11/5, 80, 70, 9, 6, 1, 2
2025/11/6, 121, 68, 9, 6, 38, 39
2025/11/7, 155, 62, 9, 5, , 5
2025/11/8, 140, 79, 9, 6, , 5
2025/11/9, 161, 90, 9, 6, , 2
2025/11/10, 163, 88, 9, 7, , 4
2025/11/11, 162, 94, 9, 8, , 6
2025/11/12, 163, 81, 9, 8, , 7
2025/11/13, 160, 99, 9, 9, 1, 9
2025/11/14, 162, 97, 9, 8, 1, 6
2025/11/15, 163, 94, 9, 8, 1, 7
2025/11/16, 162, 97, 10, 9, 1, 7
2025/11/17, 162, 91, 9, 6, 1, 3
2025/11/18, 163, , , , , 
2025/10/1, 112, 58, 10, 4, 1, 2
2025/10/2, 113, 59, 9, 4, , 1
2025/10/3, 116, 60, 9, 4, 1, 2
2025/10/4, 121, 63, 9, 5, 1, 2
2025/10/5, 126, 62, 9, 4, , 1
2025/10/6, 127, 65, 9, 4, 1, 2
2025/10/7, 133, 81, 9, 4, , 1
2025/10/8, 160, 88, 9, 5, 1, 1
2025/10/9, 159, 110, 10, 5, 1, 1
2025/10/10, 162, 110, 9, 5, 1, 2
2025/10/11, 163, 110, 9, 7, 1, 1
2025/10/12, 164, 91, 9, 7, 1, 1
2025/10/13, 156, 64, 9, 7, 1, 1
2025/10/14, 113, 57, 9, 7, 1, 2
2025/10/15, 105, 74, 9, 8, 1, 2
2025/10/16, 131, 89, 9, 8, 1, 1
2025/10/17, 152, 91, 9, 8, 1, 1
2025/10/18, 152, 87, 9, 8, 1, 2
2025/10/19, 149, 51, 10, 7, 1, 2
2025/10/20, 100, 54, 9, 6, 1, 2
2025/10/21, 96, 55, 9, 7, 1, 2
2025/10/22, 101, 37, 9, 6, 1, 2
2025/10/23, 66, 48, 9, 6, 1, 2
2025/10/24, 87, 39, 9, 6, 1, 2
2025/10/25, 69, 47, 9, 7, 1, 2
2025/10/26, 83, 59, 9, 7, 1, 2
2025/10/27, 102, 14, 9, 4, 1, 2
2025/10/28, 28, 10, 9, 3, 1, 2
2025/10/29, 22, 20, 9, 3, 1, 2
2025/10/30, 47, 29, 9, 3, 1, 2
2025/10/31, 55, 41, 9, 4, 1, 2
2025/7/1, 134, 68, 9, 2, 1, 8
2025/7/2, 138, 67, 10, 2, 2, 10
2025/7/3, 134, , 22, 4, 2, 9
2025/7/7, 156, 68, 9, 2, 1, 2
2025/7/8, 147, 70, 9, 2, 1, 2
2025/7/9, 147, 75, 9, 2, 2, 3
2025/7/10, 149, 78, 9, 3, 2, 3
2025/7/11, 160, 73, 10, 3, 2, 3
2025/7/12, 146, 66, 9, 4, 1, 3
2025/7/13, 138, 62, 9, 3, 1, 2
2025/7/14, 128, 56, 9, 2, 1, 2
2025/7/15, 102, 60, 9, 2, 1, 2
2025/7/16, 121, 66, 9, 3, 2, 3
2025/7/17, 142, 59, 9, 3, 1, 3
2025/7/18, 113, 60, 9, 2, 1, 2
2025/7/19, 118, 67, 9, 3, 1, 2
2025/7/20, 144, 60, 9, 3, 1, 3
2025/7/21, 121, 56, 9, 2, 1, 3
2025/7/22, 102, 49, 9, 2, 1, 2
2025/7/23, 75, 52, 10, 1, 1, 2
2025/7/24, 86, 54, 9, 2, , 1
2025/7/25, 92, 50, 9, 2, 1, 1
2025/7/26, 79, 55, 20, 2, 1, 2
2025/7/27, 98, 56, 11, 4, 4, 7
2025/7/28, 103, , , , , 
2025/7/30, 118, 62, 9, 3, 1, 2
2025/7/31, 133, 65, 10, 3, 1, 3
2025/8/1, 143, 69, 10, 3, 2, 3
2025/8/2, 143, 72, 9, 4, 1, 2
2025/8/3, 150, 69, 9, 4, 1, 2
2025/8/4, 143, 84, 9, 5, 2, 3
2025/8/5, 159, 80, 9, 5, 1, 3
2025/8/6, 155, 74, 9, 4, 1, 2
2025/8/7, 146, 57, 9, 3, , 1
2025/8/8, 107, 63, 10, 3, 1, 2
2025/8/9, 130, 57, 10, 3, 1, 2
2025/8/10, 110, 57, 9, 3, 1, 2
2025/8/11, 108, 57, 9, 2, 1, 3
2025/8/12, 107, 55, 9, 2, 1, 2
2025/8/13, 98, 50, 10, 2, 1, 3
2025/8/14, 79, 51, 9, 3, 1, 1
2025/8/15, 81, 53, 9, 3, 1, 2
2025/8/16, 89, 55, 9, 3, 1, 2
2025/8/17, 99, 49, 9, 2, 1, 2
2025/8/18, 76, 46, 10, 3, 1, 3
2025/8/19, 67, 51, 9, 3, 1, 2
2025/8/20, 84, 58, 9, 3, 2, 3
2025/8/21, 111, 61, 9, 3, 1, 2
2025/8/22, 126, 60, 10, 3, 1, 2
2025/8/23, 122, 59, 9, 3, 1, 2
2025/8/24, 114, 57, 9, 3, 1, 2
2025/8/25, 106, 56, 9, 3, , 1
2025/8/26, 101, 50, 9, 3, 1, 2
2025/8/27, 77, 53, 9, 3, 1, 2
2025/8/28, 92, 57, 9, 3, 1, 2
2025/8/29, 106, 58, 9, 3, 1, 1
2025/8/30, 109, 55, 10, 3, 1, 2
2025/8/31, 98, 58, 9, 4, 1, 2
2025/9/1, 112, 56, 9, 3, 1, 2
2025/9/2, 100, 70, 9, 3, 1, 2
2025/9/3, 134, 69, 9, 4, 1, 2
2025/9/4, 146, 63, 9, 3, 1, 2
2025/9/5, 131, 61, 10, 5, 1, 2
2025/9/6, 128, , , , , 
2025/9/8, 152, 76, 10, 4, 1, 2
2025/9/9, 158, 67, 9, 3, 1, 2
2025/9/10, 140, 61, 9, 4, 1, 2
2025/9/11, 128, 65, 9, 4, 1, 2
2025/9/12, 136, 68, 10, 4, 1, 2
2025/9/13, 139, 62, 9, 5, 1, 2
2025/9/14, 122, 59, 9, 4, 1, 2
2025/9/15, 116, 58, 9, 3, 1, 2
2025/9/16, 108, 67, 9, 4, 1, 2
2025/9/17, 135, 62, 9, 4, 1, 2
2025/9/18, 127, 61, 9, 3, 1, 2
2025/9/19, 120, 63, 9, 3, 1, 2
2025/9/20, 134, 62, 10, 4, 1, 2
2025/9/21, 129, 59, 9, 5, 1, 2
2025/9/22, 118, 58, 9, 4, 15, 1
2025/9/23, 111, 65, 9, 4, , 1
2025/9/24, 135, 63, 9, 4, 1, 2
2025/9/25, 133, 58, 10, 3, 1, 2
2025/9/26, 108, 50, 9, 3, 1, 2
2025/9/27, 78, , 9, 4, 1, 1
2025/9/29, 134, 58, 9, 4, , 1
2025/9/30, 112, 58, 9, 3, 1, 2
2025/4/1, 164, 105, 9, 32, 2, 1
2025/4/2, 161, 74, 9, 29, 1, 1
2025/4/3, 158, 57, 9, 28, 2, 1
2025/4/4, 135, 79, 9, 37, 1, 1
2025/4/5, 132, 70, 9, 32, 1, 1
2025/4/6, 129, 78, 9, 33, 1, 1
2025/4/7, 144, 78, 9, 37, 2, 1
2025/4/8, 128, , , , , 
2025/4/11, 164, 33, , , 1, 9
2025/4/12, 133, 64, , , 6, 13
2025/4/13, 147, 55, , , 2, 13
2025/4/14, 106, 57, , , 2, 8
2025/4/15, 117, 56, 25, 13, , 4
2025/4/16, 140, 57, 25, 13, , 4
2025/4/17, 127, 58, 24, 13, , 3
2025/4/18, 145, 57, 25, 13, , 3
2025/4/19, 129, 58, 25, 12, , 3
2025/4/20, 144, 56, 25, 13, , 3
2025/4/21, 127, 58, 25, 13, , 2
2025/4/22, 151, 60, 25, 21, , 3
2025/4/23, 153, 57, 10, 25, 1, 1
2025/4/24, 138, 56, 9, 26, 1, 3
2025/4/25, 132, 55, 9, 29, 2, 2
2025/4/26, 132, 56, 9, 30, 3, 7
2025/4/27, 112, 55, 9, 26, 1, 2
2025/4/28, 124, 54, 9, 25, 3, 5
2025/4/29, 95, 59, 9, 26, 2, 
2025/4/30, 117, 55, 9, 27, 2, 10
2025/5/1, 127, 58, 9, 26, 2, 12
2025/5/2, 104, 58, 9, 26, 3, 7
2025/5/3, 97, 58, 9, 30, 3, 9
2025/5/4, 128, 57, 9, 26, 2, 6
2025/5/5, 112, 58, 10, 35, 3, 11
2025/5/6, 110, 55, 9, 30, 2, 5
2025/5/7, 98, 58, 9, 30, 2, 5
2025/5/8, 106, 59, 9, 29, 2, 6
2025/5/9, 118, 57, 9, 25, 3, 4
2025/5/10, 119, 59, 9, 29, 3, 3
2025/5/11, 128, 55, 9, 24, 2, 3
2025/5/12, 118, 59, 9, 28, 2, 4
2025/5/13, 120, 57, 9, 28, 3, 6
2025/5/14, 112, 53, 9, 23, 2, 5
2025/5/15, 81, 55, 9, 24, 2, 4
2025/5/16, 107, 64, 9, 36, 2, 4
2025/5/17, 120, 82, 9, 48, 6, 1
2025/5/18, 165, 74, 9, 9, 3, 12
2025/5/19, 135, 68, 9, 7, 3, 8
2025/5/20, 113, 64, 9, 6, 3, 6
2025/5/21, 94, 52, 10, 2, 4, 6
2025/5/22, 33, 54, 10, 2, 2, 8
2025/5/23, 51, 54, 9, 4, 3, 8
2025/5/24, 50, 52, 9, 4, 2, 10
2025/5/25, 41, 51, 11, 3, 3, 6
2025/5/26, 34, 49, 9, 3, 3, 9
2025/5/27, 22, 53, 9, 3, 2, 8
2025/5/28, 43, 56, 9, 2, 2, 8
2025/5/29, 61, 60, 9, 2, 2, 9
2025/5/30, 76, 64, 9, 3, 2, 10
2025/5/31, 94, 58, 9, 3, 3, 10
2025/6/1, 69, 56, 9, 3, 2, 7
2025/6/2, 58, 57, 9, 3, 2, 8
2025/6/3, 63, 58, 9, 3, 2, 7
2025/6/4, 71, 56, 9, 3, 2, 5
2025/6/5, 58, 61, 9, 3, 2, 4
2025/6/6, 84, 70, 9, 4, 2, 5
